,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y,year
57,27008,A7 Nord-Isere,proximité trafic,trafic,Proximité A7  38150 SALAISE-SUR-SANNE,,,0,50,132,25,26,19,,,,,,,,,,4.804823931,45.35324122,2013
58,29421,Saint-Etienne Nord,périurbaine,fond,1 rue Pierre de Coubertin  42000 SAINT-ETIENNE,,,9,27,54,20,12,,14,12631,,,,,,,,4.389782694,45.46677343,2013
59,29423,Roanne,urbaine,fond,Rue Gilbertes  42300 ROANNE,,,0,21,37,18,10,,13,10889,,,,,,,,4.07465777,46.04126603,2013
60,29424,Saint-Etienne Sud,urbaine,fond,Place Préher  42000 SAINT-ETIENNE,0,0,,,,,,13,15,12592,,,7.3,5.1,0.2,1.9,,4.395420543,45.42014241,2013
61,29426,Est stéphanois / Saint-Chamond,urbaine,fond,8 Rue Dugas Montbel  42400 SAINT-CHAMOND,,,0,29,51,21,17,14,17,12902,,,,,,,,4.515002069,45.47538372,2013
62,29428,N88 Saint-Etienne,proximité trafic,trafic,7 Rue Ernest Renan  42000 SAINT-ETIENNE,,,0,38,77,21,9,14,,,,,,,,,,4.412784466,45.42205037,2013
63,29429,A47 Vallée du Gier,proximité trafic,trafic,Rue Michelet  42800 RIVE-DE-GIER,,,0,43,101,26,32,,,,,,,,,,,4.623939552,45.5334837,2013
64,29439,Est Stéphanois / La Talaudière,périurbaine,fond,19 rue Romain Rolland  42350 LA TALAUDIERE,,,0,16,23,18,6,,28,17366,,,,,,,,4.429905721,45.48160671,2013
65,29440,Col de l'Oeillon,rurale régionale,fond,42520 ROISEY,,,0,2,2,8,0,,,,,,,,,,,4.615814688,45.38957782,2013
66,33101,Chambéry Pasteur,urbaine,fond,square Pasteur Rue de Plaisance 73000 CHAMBERY,,,0,24,40,23,22,19,15,10372,,,,,,,,5.928433617,45.56458503,2013
67,33102,Chambery le Haut,urbaine,fond,Rue du Grand Champ  73000 CHAMBERY,,,0,21,29,21,19,,21,11736,,,,,,,,5.918673386,45.59679167,2013
68,33111,Saint-Jean de Maurienne,urbaine,fond,Rue Charles Dullin  73300 SAINT-JEAN-DE-MAURIENNE,0,0,0,16,24,18,9,,,,,,,,,,,6.34960949,45.27474036,2013
69,33114,A43 Vallée de la Maurienne,proximité trafic,trafic,Echangeur de Saint-Julien Montdenis  73870 SAINT-JULIEN-MONT-DENIS,0,0,0,32,74,22,11,,,,,,,,,,,6.397013045,45.2520578,2013
70,33120,Chamonix,urbaine,fond,Rue du Lyret  74400 CHAMONIX-MONT-BLANC,,,0,30,65,23,28,,5,11325,,,,,,,,6.869923167,45.92259347,2013
71,33121,Albertville,urbaine,fond,Rue Félix Chautemps  73200 ALBERTVILLE,,,0,23,35,21,16,,,,,,14.9,0.9,0.6,13.5,,6.389601421,45.67510546,2013
72,33122,La Léchère,proximité industrielle,industrielle,Lieu-dit Verney  73260 LA LECHERE,,,,,,26,26,,,,,,,,,,,6.471108479,45.53583296,2013
73,33201,Annecy Loverchy,urbaine,fond,Rue du Travail  74000 ANNECY,,,0,31,63,25,26,19,4,8732,,,,,,,,6.118434852,45.89534503,2013
74,33202,Annecy Novel,urbaine,fond,Impasse de l'Arcalod  74000 ANNECY,,,0,23,41,,,,8,9218,,,,,,,,6.135661615,45.91705605,2013
75,33211,Annemasse,urbaine,fond,Avenue Florissant  74100 ANNEMASSE,,,0,25,42,20,16,,10,10786,,,,,,,,6.24059838,46.19579152,2013
76,33212,Gaillard,périurbaine,fond,Rue du Pont Noir  74240 GAILLARD,,,,,,24,23,16,15,11948,,,,,,,,6.215051169,46.19391257,2013
77,33220,Passy,urbaine,fond,Rue Salvatore Allende  74190 PASSY,,,0,20,40,30,58,,19,14983,,,,,,,,6.713642295,45.9235346,2013
78,33232,Chamonix Route Blanche,proximité trafic,trafic,En bordure de chaussée de la RD1205 Village des Bossons 74400 CHAMONIX-MONT-BLANC,,,6,52,162,20,14,,,,,,,,,,,6.845044259,45.90670938,2013
79,33233,Aiguille du midi,rurale régionale,fond,Aiguille du Midi  74400 CHAMONIX-MONT-BLANC,,,,,,,,,20,14762,,,,,,,,6.887267758,45.87860513,2013
80,33302,Saint-Germain-sur-Rhône,rurale régionale,fond,"Lieu-dit ""Sous les Ages""  74910 SAINT-GERMAIN-SUR-RHONE",0,0,0,10,13,,,,10,10216,,,,,,,,5.820805001,46.07235714,2013
81,33305,Bourg en Bresse,urbaine,fond,Rue des Blanchisseries 01000 BOURG-EN-BRESSE,,,0,20,34,18,7,,22,12766,,,,,,,,5.226502303,46.21168017,2013
82,36001,Valence Sud,périurbaine,fond,Groupe scolaire Joliot-Curie  26800 PORTES-LES-VALENCE,,,0,22,35,25,18,,42,20766,,,,,,,,4.876292077,44.87029837,2013
83,36002,Valence urbain centre,urbaine,fond,Square Lesdiguières  26000 VALENCE,,,0,25,39,,,,37,18812,,,,,,,,4.893484512,44.93357135,2013
84,36003,A7 Valence,proximité trafic,trafic,Rue Alsace-Lorraine  26500 BOURG-LES-VALENCE,,,0,57,186,22,17,,,,,,9.5,0.5,0.1,2,,4.889883076,44.94897917,2013
85,36005,Drôme provençale,rurale régionale,fond,Quartier Beauvallon  26220 DIEULEFIT,,,0,4,5,,,,41,22567,,,,,,,,5.08987261,44.52079714,2013
86,36007,Saint-Bauzile ZI,proximité industrielle,industrielle,Mairie de St Bauzile le Village  7210 SAINT-BAUZILE,0,0,,,,,,,,,,,,,,,,4.673594253,44.67599328,2013
87,36019,Romans Sur Isère,urbaine,fond,extrémité sud-est du Parc François Mitterrand Rue Saint-Romain 26100 ROMANS-SUR-ISERE,,,0,16,24,,,,41,20554,,,,,,,,5.044120717,45.04224405,2013
